CustomerID,Age,Gender,City,ProductCategory,Quantity,Membership,VisitFrequency,TotalSpend,HighSpender
C00001,56,Male,New York,Frozen Foods,9,No,6,144.0,Yes
C00002,69,Female,Houston,Bakery,4,Yes,21,186.6,Yes
C00003,46,Female,Houston,Dairy,1,Yes,21,12.19,No
C00004,32,Female,Miami,Produce,9,Yes,14,194.22,Yes
C00005,60,Male,Chicago,Dairy,5,Yes,27,240.1,Yes
C00006,25,Female,Miami,Beverages,10,No,15,166.2,Yes
C00007,38,Female,Los Angeles,Bakery,7,No,23,228.13,Yes
C00008,56,Female,Los Angeles,Snacks,3,Yes,11,49.56,No
C00009,36,Male,Houston,Dairy,4,Yes,22,25.68,No
C00010,40,Male,Houston,Household,10,No,4,317.5,Yes
C00011,28,Female,Miami,Bakery,9,No,23,413.01,Yes
C00012,28,Female,Miami,Beverages,10,Yes,5,231.8,Yes
C00013,41,Female,New York,Bakery,1,Yes,23,31.68,No
C00014,53,Male,Los Angeles,Snacks,5,Yes,23,154.2,Yes
C00015,57,Male,Miami,Produce,8,No,27,170.72,Yes
C00016,41,Male,Chicago,Produce,10,No,2,311.3,Yes
C00017,20,Female,New York,Household,7,No,28,95.97,No
C00018,39,Male,Miami,Produce,4,No,20,78.08,No
C00019,19,Female,Houston,Frozen Foods,7,Yes,15,158.69,Yes
C00020,41,Female,Miami,Frozen Foods,1,No,10,43.34,No
C00021,61,Male,Houston,Frozen Foods,6,Yes,4,108.42,Yes
C00022,47,Female,Houston,Household,9,No,29,289.08,Yes
C00023,55,Male,Los Angeles,Frozen Foods,3,Yes,23,34.38,No
C00024,19,Female,Los Angeles,Beverages,4,Yes,8,53.52,No
C00025,38,Female,Miami,Household,8,No,11,262.16,Yes
C00026,50,Male,Miami,Bakery,5,Yes,17,191.75,Yes
C00027,29,Female,Chicago,Beverages,5,Yes,7,118.2,Yes
C00028,39,Female,New York,Produce,1,No,11,17.42,No
C00029,61,Female,New York,Snacks,6,Yes,22,273.6,Yes
C00030,42,Female,Miami,Frozen Foods,2,No,10,15.3,No
C00031,66,Female,Los Angeles,Bakery,1,No,1,36.31,No
C00032,44,Female,Chicago,Snacks,6,No,30,208.92,Yes
C00033,59,Female,New York,Household,5,Yes,30,174.1,Yes
C00034,45,Female,Miami,Household,5,Yes,8,234.2,Yes
C00035,33,Male,Los Angeles,Beverages,9,No,5,330.12,Yes
C00036,32,Male,Los Angeles,Frozen Foods,10,No,13,157.8,Yes
C00037,64,Female,Los Angeles,Household,10,Yes,7,183.2,Yes
C00038,68,Female,Houston,Beverages,3,No,24,60.48,No
C00039,61,Male,Los Angeles,Beverages,1,No,23,2.51,No
C00040,69,Female,Miami,Dairy,8,No,11,366.08,Yes
C00041,20,Male,Chicago,Bakery,5,Yes,12,23.0,No
C00042,54,Male,Miami,Beverages,5,Yes,14,176.45,Yes
C00043,68,Male,Los Angeles,Produce,8,Yes,12,294.24,Yes
C00044,24,Female,Chicago,Household,8,No,26,338.72,Yes
C00045,38,Female,New York,Beverages,2,No,28,56.22,No
C00046,26,Female,New York,Frozen Foods,3,No,29,109.62,Yes
C00047,56,Male,Miami,Household,10,No,1,158.3,Yes
C00048,35,Male,Chicago,Household,10,Yes,6,375.3,Yes
C00049,21,Male,Miami,Produce,1,Yes,27,17.83,No
C00050,42,Female,Chicago,Beverages,3,No,11,135.72,Yes
C00051,31,Male,Chicago,Produce,4,Yes,11,36.04,No
C00052,67,Male,Miami,Beverages,7,No,12,115.29,Yes
C00053,26,Female,Chicago,Bakery,9,No,1,228.96,Yes
C00054,43,Male,Los Angeles,Produce,5,Yes,20,195.1,Yes
C00055,19,Male,Chicago,Snacks,1,Yes,20,37.69,No
C00056,37,Female,Chicago,Dairy,2,No,24,22.66,No
C00057,45,Female,Miami,Produce,10,No,6,80.7,No
C00058,64,Male,New York,Frozen Foods,2,Yes,29,31.78,No
C00059,24,Female,Houston,Dairy,9,Yes,30,222.3,Yes
C00060,61,Male,Chicago,Dairy,10,Yes,23,274.1,Yes
C00061,25,Female,Houston,Beverages,7,No,13,154.21,Yes
C00062,64,Male,Chicago,Produce,2,Yes,30,66.98,No
C00063,52,Female,Miami,Bakery,1,Yes,30,21.95,No
C00064,31,Male,Miami,Household,5,Yes,12,236.85,Yes
C00065,34,Female,Chicago,Dairy,1,No,30,13.79,No
C00066,53,Female,Miami,Frozen Foods,9,Yes,10,285.66,Yes
C00067,67,Female,Miami,Bakery,3,Yes,23,92.88,No
C00068,57,Female,Chicago,Bakery,2,Yes,7,29.6,No
C00069,21,Female,New York,Frozen Foods,6,Yes,10,127.02,Yes
C00070,19,Female,Chicago,Household,3,No,18,56.73,No
C00071,23,Female,New York,Frozen Foods,5,Yes,6,47.25,No
C00072,59,Male,Miami,Beverages,10,No,24,243.9,Yes
C00073,21,Male,New York,Snacks,8,Yes,8,159.6,Yes
C00074,46,Female,Miami,Household,10,Yes,20,97.4,No
C00075,35,Female,New York,Produce,2,Yes,23,46.08,No
C00076,43,Male,New York,Dairy,5,Yes,9,108.35,Yes
C00077,61,Male,Chicago,Produce,8,Yes,16,59.52,No
C00078,51,Female,New York,Bakery,1,Yes,24,7.43,No
C00079,27,Male,Miami,Dairy,10,No,2,327.3,Yes
C00080,53,Male,Chicago,Household,10,No,29,356.2,Yes
C00081,31,Female,New York,Beverages,4,No,11,188.48,Yes
C00082,48,Female,Chicago,Produce,5,No,24,26.3,No
C00083,65,Female,Houston,Beverages,10,No,19,67.8,No
C00084,32,Male,Chicago,Beverages,3,Yes,4,10.62,No
C00085,25,Female,Houston,Household,2,Yes,3,54.16,No
C00086,31,Female,Houston,Produce,3,Yes,15,94.53,No
C00087,40,Male,Chicago,Produce,5,Yes,8,103.85,Yes
C00088,57,Female,Miami,Household,7,No,4,280.7,Yes
C00089,38,Male,Miami,Household,2,No,11,69.3,No
C00090,33,Male,Miami,Dairy,7,Yes,17,345.17,Yes
C00091,62,Male,Los Angeles,Bakery,6,Yes,9,46.56,No
C00092,35,Male,Houston,Bakery,7,No,25,27.02,No
C00093,64,Male,Chicago,Household,7,No,1,101.29,Yes
C00094,41,Male,Miami,Frozen Foods,9,Yes,8,17.37,No
C00095,43,Female,Miami,Beverages,7,No,2,326.9,Yes
C00096,42,Female,Chicago,Bakery,6,Yes,23,95.34,No
C00097,62,Female,Houston,Snacks,10,Yes,13,280.7,Yes
C00098,58,Male,Chicago,Household,8,No,1,132.72,Yes
C00099,46,Female,Los Angeles,Household,7,No,22,91.28,No
C00100,32,Male,Los Angeles,Dairy,6,Yes,10,50.82,No
C00101,62,Female,Chicago,Household,4,No,12,66.8,No
C00102,18,Male,Houston,Dairy,7,No,27,218.12,Yes
C00103,42,Female,Miami,Frozen Foods,8,Yes,11,388.88,Yes
C00104,24,Male,Los Angeles,Frozen Foods,8,Yes,10,226.8,Yes
C00105,26,Female,Los Angeles,Household,4,Yes,14,108.4,Yes
C00106,41,Male,Houston,Beverages,10,No,14,27.3,No
C00107,18,Female,Los Angeles,Dairy,9,Yes,8,379.44,Yes
C00108,61,Male,Los Angeles,Dairy,3,Yes,11,9.6,No
C00109,25,Female,Houston,Snacks,9,Yes,22,408.69,Yes
C00110,41,Female,Chicago,Beverages,3,No,9,82.17,No
C00111,28,Female,Miami,Beverages,7,No,15,64.75,No
C00112,68,Male,Miami,Bakery,4,Yes,27,92.52,No
C00113,34,Male,Los Angeles,Frozen Foods,5,No,1,248.75,Yes
C00114,25,Male,Miami,Bakery,3,No,25,47.85,No
C00115,52,Male,Chicago,Beverages,2,Yes,19,28.4,No
C00116,52,Male,Los Angeles,Household,8,No,18,54.24,No
C00117,50,Female,Miami,Snacks,7,No,12,211.82,Yes
C00118,22,Male,New York,Household,7,Yes,8,37.59,No
C00119,59,Female,New York,Household,8,No,26,308.24,Yes
C00120,56,Female,New York,Beverages,1,No,5,46.04,No
C00121,58,Male,New York,Bakery,8,No,13,373.28,Yes
C00122,45,Female,New York,Produce,10,No,17,62.9,No
C00123,24,Male,Los Angeles,Household,5,No,1,141.75,Yes
C00124,26,Male,Houston,Household,8,Yes,2,46.08,No
C00125,25,Male,Houston,Produce,9,Yes,7,261.27,Yes
C00126,29,Female,Los Angeles,Snacks,2,No,2,81.86,No
C00127,51,Male,Los Angeles,Frozen Foods,3,Yes,25,82.05,No
C00128,50,Male,Chicago,Dairy,6,Yes,22,262.38,Yes
C00129,65,Male,Houston,Beverages,9,Yes,4,362.52,Yes
C00130,40,Female,New York,Bakery,10,Yes,28,145.5,Yes
C00131,41,Male,Los Angeles,Frozen Foods,10,No,13,318.8,Yes
C00132,54,Female,New York,Bakery,8,No,14,10.88,No
C00133,52,Female,Houston,Frozen Foods,6,No,20,122.46,Yes
C00134,61,Male,Miami,Beverages,5,Yes,3,63.3,No
C00135,57,Female,Miami,Dairy,3,No,9,140.76,Yes
C00136,39,Female,Los Angeles,Beverages,4,Yes,18,83.44,No
C00137,44,Male,Chicago,Dairy,7,No,25,231.35,Yes
C00138,52,Male,New York,Bakery,7,No,16,258.09,Yes
C00139,18,Male,Los Angeles,Snacks,3,Yes,19,116.67,Yes
C00140,52,Female,Chicago,Dairy,4,No,20,148.2,Yes
C00141,54,Male,New York,Frozen Foods,3,Yes,9,45.51,No
C00142,64,Female,Houston,Snacks,2,No,19,69.24,No
C00143,31,Female,Miami,Bakery,6,Yes,6,167.4,Yes
C00144,20,Female,Chicago,Produce,7,Yes,12,211.89,Yes
C00145,18,Female,New York,Snacks,4,Yes,15,4.16,No
C00146,22,Female,Los Angeles,Dairy,5,No,21,68.25,No
C00147,43,Male,New York,Snacks,8,No,6,372.8,Yes
C00148,31,Male,Los Angeles,Bakery,9,Yes,5,136.89,Yes
C00149,56,Female,Miami,Snacks,7,Yes,29,157.22,Yes
C00150,44,Female,Miami,Bakery,10,Yes,14,101.5,Yes
C00151,26,Male,New York,Produce,1,No,27,7.79,No
C00152,32,Male,New York,Dairy,3,Yes,19,33.66,No
C00153,32,Female,Los Angeles,Household,5,No,18,140.65,Yes
C00154,43,Female,Los Angeles,Frozen Foods,3,No,26,138.09,Yes
C00155,59,Male,Chicago,Snacks,1,No,13,16.98,No
C00156,30,Male,Chicago,Household,2,Yes,9,33.7,No
C00157,68,Female,Chicago,Beverages,8,No,20,229.12,Yes
C00158,49,Male,New York,Frozen Foods,7,Yes,26,129.36,Yes
C00159,56,Male,Chicago,Snacks,10,Yes,28,456.1,Yes
C00160,66,Female,New York,Frozen Foods,3,No,22,58.53,No
C00161,69,Female,Miami,Household,4,No,25,100.12,Yes
C00162,49,Female,Houston,Beverages,3,Yes,21,81.42,No
C00163,21,Male,Miami,Frozen Foods,4,No,7,157.28,Yes
C00164,47,Female,New York,Household,8,No,28,229.04,Yes
C00165,54,Male,New York,Frozen Foods,9,No,30,114.48,Yes
C00166,40,Female,Houston,Beverages,7,No,21,49.56,No
C00167,56,Female,Los Angeles,Beverages,9,Yes,12,422.55,Yes
C00168,62,Male,Los Angeles,Beverages,9,No,9,362.52,Yes
C00169,32,Male,Los Angeles,Produce,7,No,2,14.91,No
C00170,60,Female,Chicago,Bakery,7,No,3,288.75,Yes
C00171,46,Female,Los Angeles,Bakery,8,No,5,239.52,Yes
C00172,53,Male,Chicago,Household,10,No,18,264.3,Yes
C00173,30,Female,Chicago,Beverages,3,No,28,4.8,No
C00174,49,Male,Los Angeles,Household,8,No,14,314.08,Yes
C00175,24,Male,Los Angeles,Bakery,1,No,22,10.71,No
C00176,68,Female,Houston,Frozen Foods,6,No,26,220.02,Yes
C00177,39,Male,Houston,Beverages,2,Yes,19,3.56,No
C00178,45,Male,Chicago,Snacks,7,Yes,21,280.14,Yes
C00179,19,Male,Houston,Beverages,3,No,5,6.39,No
C00180,59,Female,Chicago,Beverages,10,No,10,125.6,Yes
C00181,62,Male,New York,Bakery,5,Yes,16,70.75,No
C00182,23,Female,Chicago,Household,10,Yes,24,87.2,No
C00183,45,Female,Chicago,Dairy,2,No,25,49.14,No
C00184,45,Female,Houston,Frozen Foods,1,Yes,20,14.9,No
C00185,61,Male,New York,Bakery,5,Yes,26,248.35,Yes
C00186,61,Male,Miami,Household,9,Yes,1,264.78,Yes
C00187,37,Female,Miami,Household,9,Yes,21,258.84,Yes
C00188,47,Female,Miami,Frozen Foods,7,Yes,4,82.74,No
C00189,28,Male,New York,Household,9,Yes,5,189.27,Yes
C00190,45,Female,Los Angeles,Snacks,4,Yes,11,28.28,No
C00191,42,Female,New York,Produce,3,Yes,14,115.08,Yes
C00192,56,Male,Houston,Dairy,4,No,25,68.92,No
C00193,50,Female,Chicago,Snacks,7,Yes,24,264.95,Yes
C00194,18,Male,Chicago,Snacks,8,No,27,153.68,Yes
C00195,44,Male,Houston,Frozen Foods,2,Yes,11,98.9,No
C00196,69,Female,Houston,Dairy,5,No,27,46.9,No
C00197,30,Male,Chicago,Frozen Foods,5,No,24,5.35,No
C00198,58,Male,Los Angeles,Produce,9,No,8,271.35,Yes
C00199,20,Male,Los Angeles,Household,3,No,1,143.07,Yes
C00200,56,Female,Los Angeles,Frozen Foods,6,Yes,28,196.26,Yes
C00201,23,Female,Houston,Beverages,10,No,7,52.0,No
C00202,25,Female,Chicago,Frozen Foods,5,Yes,13,137.4,Yes
C00203,44,Male,Chicago,Household,2,No,20,91.12,No
C00204,26,Male,Chicago,Beverages,2,Yes,6,2.64,No
C00205,54,Female,New York,Snacks,4,No,4,36.72,No
C00206,50,Female,New York,Produce,4,Yes,12,163.64,Yes
C00207,68,Male,Miami,Household,7,Yes,5,313.6,Yes
C00208,59,Female,New York,Bakery,1,No,5,35.65,No
C00209,61,Female,Los Angeles,Beverages,6,Yes,17,297.54,Yes
C00210,41,Female,Los Angeles,Produce,9,Yes,6,48.78,No
C00211,32,Female,Los Angeles,Frozen Foods,2,No,10,55.48,No
C00212,49,Female,Los Angeles,Bakery,5,Yes,16,172.8,Yes
C00213,49,Male,Miami,Frozen Foods,10,No,24,354.3,Yes
C00214,41,Female,Los Angeles,Household,10,No,29,398.8,Yes
C00215,58,Female,Houston,Snacks,4,Yes,21,183.84,Yes
C00216,69,Male,Houston,Household,4,No,14,74.88,No
C00217,66,Male,Houston,Household,8,No,10,24.88,No
C00218,66,Male,New York,Household,6,Yes,29,112.56,Yes
C00219,69,Male,Chicago,Frozen Foods,7,Yes,28,237.37,Yes
C00220,29,Female,Miami,Beverages,9,Yes,22,103.14,Yes
C00221,56,Female,Houston,Snacks,3,No,21,122.07,Yes
C00222,19,Female,Houston,Produce,2,No,17,23.54,No
C00223,20,Female,Los Angeles,Snacks,3,Yes,5,4.47,No
C00224,66,Male,Houston,Produce,8,Yes,2,207.2,Yes
C00225,54,Male,Los Angeles,Dairy,9,Yes,4,329.4,Yes
C00226,66,Female,Los Angeles,Beverages,10,Yes,18,181.3,Yes
C00227,34,Female,Chicago,Beverages,5,Yes,8,188.5,Yes
C00228,66,Female,New York,Produce,8,Yes,14,179.84,Yes
C00229,19,Female,Los Angeles,Frozen Foods,7,Yes,13,65.87,No
C00230,19,Male,Los Angeles,Bakery,9,Yes,29,48.96,No
C00231,45,Female,Chicago,Frozen Foods,4,Yes,7,143.28,Yes
C00232,40,Male,Los Angeles,Dairy,10,Yes,9,199.0,Yes
C00233,54,Male,Miami,Produce,3,No,4,137.19,Yes
C00234,49,Male,New York,Dairy,9,No,5,247.23,Yes
C00235,50,Male,Miami,Produce,8,No,15,144.56,Yes
C00236,18,Female,Houston,Dairy,7,Yes,9,126.7,Yes
C00237,36,Female,New York,Produce,1,Yes,25,7.44,No
C00238,19,Female,Houston,Beverages,2,No,18,60.2,No
C00239,61,Female,Los Angeles,Dairy,9,No,28,265.77,Yes
C00240,43,Male,Chicago,Dairy,5,No,27,201.0,Yes
C00241,49,Male,Miami,Produce,1,Yes,14,10.86,No
C00242,23,Male,Houston,Snacks,9,Yes,15,137.25,Yes
C00243,49,Female,Los Angeles,Snacks,1,No,1,5.76,No
C00244,21,Male,Miami,Beverages,8,Yes,19,123.76,Yes
C00245,28,Male,Miami,Frozen Foods,5,No,26,109.9,Yes
C00246,34,Male,Houston,Frozen Foods,6,No,1,289.44,Yes
C00247,55,Male,Los Angeles,Beverages,1,No,6,33.0,No
C00248,41,Female,Chicago,Frozen Foods,2,Yes,8,78.72,No
C00249,22,Male,Houston,Bakery,7,No,4,118.65,Yes
C00250,69,Male,Miami,Bakery,2,Yes,16,16.16,No
C00251,51,Female,Miami,Bakery,5,No,11,67.9,No
C00252,23,Female,New York,Household,9,No,4,122.13,Yes
C00253,39,Female,Los Angeles,Household,5,Yes,11,147.85,Yes
C00254,28,Male,New York,Bakery,3,Yes,10,53.19,No
C00255,65,Male,Chicago,Produce,6,No,17,258.06,Yes
C00256,33,Male,Houston,Snacks,7,Yes,9,346.08,Yes
C00257,50,Male,Miami,Beverages,10,No,10,178.2,Yes
C00258,26,Female,Los Angeles,Produce,10,No,8,355.5,Yes
C00259,23,Male,Miami,Bakery,8,Yes,30,265.76,Yes
C00260,33,Male,New York,Beverages,3,No,14,31.59,No
C00261,46,Female,New York,Snacks,4,No,13,183.92,Yes
C00262,20,Female,Houston,Frozen Foods,10,No,3,107.7,Yes
C00263,37,Female,Los Angeles,Produce,4,No,14,148.44,Yes
C00264,53,Male,Los Angeles,Snacks,2,No,14,36.06,No
C00265,36,Male,Houston,Beverages,7,No,3,132.93,Yes
C00266,43,Male,New York,Dairy,4,No,29,93.28,No
C00267,20,Male,New York,Produce,4,Yes,16,173.44,Yes
C00268,36,Male,New York,Household,8,Yes,10,62.96,No
C00269,37,Female,Miami,Beverages,6,No,4,22.02,No
C00270,49,Female,Chicago,Beverages,6,No,20,124.2,Yes
C00271,24,Male,New York,Household,9,Yes,18,33.48,No
C00272,69,Male,Chicago,Snacks,4,No,4,138.76,Yes
C00273,58,Male,Chicago,Beverages,9,Yes,2,344.34,Yes
C00274,50,Male,Los Angeles,Produce,1,Yes,11,42.88,No
C00275,57,Male,Houston,Bakery,9,Yes,15,337.05,Yes
C00276,56,Female,Miami,Household,1,No,11,45.9,No
C00277,35,Female,Chicago,Produce,7,No,23,263.69,Yes
C00278,57,Female,Miami,Household,6,Yes,21,281.22,Yes
C00279,18,Male,Los Angeles,Beverages,7,Yes,23,73.22,No
C00280,28,Male,New York,Snacks,9,No,6,229.41,Yes
C00281,45,Female,Chicago,Produce,10,No,18,497.0,Yes
C00282,42,Female,Houston,Dairy,4,Yes,30,137.6,Yes
C00283,67,Male,Los Angeles,Bakery,9,Yes,28,396.45,Yes
C00284,40,Female,Miami,Household,3,Yes,18,7.47,No
